ticker,bars,first,last,years
MEDC,6510,2000-06-06,2026-08-06,26.2
UNTR,6444,2000-09-05,2026-08-06,25.9
ICBP,6425,2000-10-02,2026-08-06,25.8
INDF,6426,2000-10-02,2026-08-06,25.8
ASII,6415,2000-10-17,2026-08-07,25.8
INTP,6378,2000-12-06,2026-08-06,25.7
TINS,6308,2001-03-14,2026-08-06,25.4
AALI,6293,2001-04-05,2026-08-06,25.3
GGRM,6247,2001-06-07,2026-08-06,25.2
HMSP,6170,2001-09-25,2026-08-06,24.9
LSIP,6020,2002-04-22,2026-08-06,24.3
PTBA,5845,2002-12-23,2026-08-06,23.6
BMRI,5701,2003-07-14,2026-08-06,23.1
UNVR,5664,2003-09-03,2026-08-06,22.9
BBRI,5617,2003-11-10,2026-08-07,22.7
BBNI,5585,2003-12-23,2026-08-06,22.6
PGAS,5590,2003-12-15,2026-08-06,22.6
KLBF,5591,2003-12-15,2026-08-06,22.6
ISAT,5523,2004-03-18,2026-08-06,22.4
BBCA,5466,2004-06-08,2026-08-07,22.2
TLKM,5385,2004-09-28,2026-08-07,21.9
SMGR,5133,2005-09-29,2026-08-06,20.9
INCO,5132,2005-09-29,2026-08-06,20.9
EXCL,5133,2005-09-29,2026-08-06,20.9
CPIN,5132,2005-09-29,2026-08-06,20.9
ANTM,5133,2005-09-29,2026-08-06,20.9
MNCN,4691,2007-06-22,2026-08-06,19.1
JSMR,4594,2007-11-12,2026-08-06,18.7
ITMG,4569,2007-12-18,2026-08-06,18.6
ADRO,4433,2008-07-16,2026-08-06,18.1
