cell,n,pos,mean,median,bars,yrs,ann,p10,worst,timeout,GOAL,hor,tp,sl,arm
tp +30% / sl -80%,117631,0.7982844658295858,0.0836605296509856,0.28983378995433795,554.450272462191,2.2001994938975833,-0.04094050335822763,-0.8126176089049539,-0.9265548248596243,0.0495617651809472,False,2520,0.3,0.8,all
tp +30% / sl -80%,76728,0.8112292774476071,0.09742381150291832,0.28983378995433795,551.4134866020228,2.1881487563572333,-0.030593113572245034,-0.8119996814875199,-0.9265548248596243,0.05046397664477114,True,2520,0.3,0.8,trend
tp +30% / sl none,117631,0.8297727639822836,0.1208384175166216,0.2901147052463161,758.707160527412,3.0107427005056033,-0.028154236395765975,-0.6899942892410683,-1.0249736988214575,0.17276058181941836,True,2520,0.3,,all
tp +30% / sl none,76728,0.8347930351371077,0.12517476261286786,0.2898545454545455,740.7257715566677,2.939387982367729,-0.02426773458180187,-0.6872722762476459,-1.0249736988214575,0.16767021165676155,True,2520,0.3,,trend
tp +35% / sl -80%,117631,0.7752378199624249,0.10063531569952769,0.3398128440366973,630.8093359743605,2.5032116506919064,-0.03782631595752228,-0.8133160493827161,-0.9265548248596243,0.06229650347272403,False,2520,0.35,0.8,all
tp +35% / sl -80%,76728,0.789190386820978,0.11655794386963715,0.33968301886792485,625.7458294234178,2.4831183707278486,-0.027547081924206518,-0.812805386264475,-0.9265548248596243,0.06322333437597748,False,2520,0.35,0.8,trend
tp +35% / sl none,117631,0.8073467028249356,0.14025303704425257,0.3398545454545455,851.7854732170941,3.380101084194818,-0.027086867032989015,-0.7411788526451493,-1.0249736988214575,0.19741394700376602,True,2520,0.35,,all
tp +35% / sl none,76728,0.8131060369096027,0.14614930349610714,0.3398545454545455,830.84699197164,3.2970118729033335,-0.022647359707050452,-0.7287524926736275,-1.0249736988214575,0.19153372953810865,True,2520,0.35,,trend
tp +40% / sl -80%,117631,0.7533388307503974,0.11645562426790707,0.38968301886792445,704.681121473081,2.7963536566392104,-0.035695734897487674,-0.8138939910677095,-0.9265548248596243,0.07566882879513054,False,2520,0.4,0.8,all
tp +40% / sl -80%,76728,0.7678552809925973,0.13403584884948605,0.38968301886792445,699.3696955479095,2.7752765696345616,-0.02561497642735977,-0.81344486265365,-0.9265548248596243,0.07742936085913878,False,2520,0.4,0.8,trend
tp +40% / sl none,117631,0.7866718807117171,0.15931470008114834,0.3898337899543378,940.3207062764068,3.7314313741127254,-0.025829069546515315,-0.7737633233863204,-1.0249736988214575,0.221387219355442,False,2520,0.4,,all
tp +40% / sl none,76728,0.7929830049004275,0.16636601038501247,0.38968301886792445,917.9151417996038,3.6425204039666816,-0.021188505484611375,-0.7597623457442079,-1.0249736988214575,0.2155406109894693,False,2520,0.4,,trend
tp +50% / sl -80%,117631,0.7154491588101776,0.14735042650076438,0.4894186799501868,835.9808383844395,3.3173842793033312,-0.03267286388236479,-0.8146174754210987,-0.9265548248596243,0.10163987384277955,False,2520,0.5,0.8,all
tp +50% / sl -80%,76728,0.7297205713689917,0.16635746591375639,0.4894186799501868,827.0150531748515,3.2818057665668707,-0.02388196967179579,-0.8142354915553791,-0.9265548248596243,0.10386038994891043,False,2520,0.5,0.8,trend
tp +50% / sl none,117631,0.7503719257678673,0.19601384694278526,0.48968301886792454,1096.2463466263146,4.350183915183788,-0.024100025545961024,-0.815771568627451,-1.0249736988214575,0.26595030221625254,False,2520,0.5,,all
tp +50% / sl none,76728,0.7566207903242623,0.20392162262092647,0.48968301886792454,1069.3580049004274,4.2434841464302675,-0.01989540403555079,-0.8017883506565717,-1.0249736988214575,0.26064800333646126,False,2520,0.5,,trend
tp +60% / sl -80%,117631,0.6857120997016093,0.17889138968202636,0.5893494949494951,938.4673172888099,3.7240766559079757,-0.030374844414693514,-0.8150346723057876,-0.9265548248596243,0.12432947097278779,False,2520,0.6,0.8,all
tp +60% / sl -80%,76728,0.7002267751016578,0.19968331838649148,0.5894186799501869,926.4013267646752,3.6761957411296637,-0.022221413429578174,-0.8147313474795747,-0.9265548248596243,0.1254691898654989,False,2520,0.6,0.8,trend
tp +60% / sl none,117631,0.7212554513691118,0.2322583726530869,0.5894186799501869,1219.697273677857,4.840068546340703,-0.022668299312271434,-0.8448023592237912,-1.0249736988214575,0.30487711572629667,False,2520,0.6,,all
tp +60% / sl none,76728,0.7268402669169013,0.23999748543001395,0.5894186799501869,1190.3564930664165,4.723636877247684,-0.01916913579683377,-0.8291342334703423,-1.0249736988214575,0.2994864977583151,False,2520,0.6,,trend
tp +75% / sl -80%,117631,0.6510868733582134,0.2271353116399754,0.7389993466079618,1063.5470836769218,4.22042493522588,-0.02657559010099031,-0.8155726823265922,-0.9265548248596243,0.15779853950064185,False,2520,0.75,0.8,all
tp +75% / sl -80%,76728,0.6657282869356689,0.24959675900983216,0.7392289132993176,1053.014805546867,4.178630180741536,-0.018999493260136724,-0.8151238095238096,-0.9265548248596243,0.1606584297779168,False,2520,0.75,0.8,trend
tp +75% / sl none,117631,0.685941631032636,0.2852597052421206,0.7392289132993176,1366.3490576463687,5.4220200700252725,-0.02012098512653271,-0.8617526640063173,-1.0249736988214575,0.35623262575341536,False,2520,0.75,,all
tp +75% / sl none,76728,0.6909733083098738,0.29256306747854893,0.7393367088607595,1338.5646569700762,5.311764511786016,-0.01702112027731295,-0.8526178795446733,-1.0249736988214575,0.35320873735793973,False,2520,0.75,,trend
tp +100% / sl -80%,117631,0.609856245377494,0.2999628273391185,0.986828429620072,1236.9535496595286,4.908545831982257,-0.022695579147491873,-0.8165139784946237,-0.9265548248596243,0.20702025826525322,False,2520,1.0,0.8,all
tp +100% / sl -80%,76728,0.6128662287561255,0.3058366592194686,0.9873367351506755,1245.773681055156,4.943546353393476,-0.019888615266202225,-0.8162506976009861,-0.9265548248596243,0.21621832968407884,False,2520,1.0,0.8,trend
tp +100% / sl none,117631,0.6432232999804474,0.36298428913532893,0.9879483870967742,1568.9809148948832,6.226114741646362,-0.01824461556714141,-0.8781394707614101,-1.0249736988214575,0.42731082792801217,False,2520,1.0,,all
tp +100% / sl none,76728,0.6380721509748722,0.3538137344393522,0.9879064935064935,1564.6169455739755,6.2087974030713315,-0.01850282267714054,-0.8783064859780924,-1.0249736988214575,0.43411792305286206,False,2520,1.0,,trend
