slots,trades,span,total,cagr,arm
1,20,18.611909650924023,0.24491367153160243,-0.07280248746308693,model-ranked
1,20,18.611909650924023,0.17142692815681038,-0.09040554571952297,RANDOM control
4,78,18.611909650924023,0.9313704799310942,-0.0038127477849613234,model-ranked
4,78,18.611909650924023,1.620846363484204,0.026287945597666562,RANDOM control
8,154,18.611909650924023,9.537817007130537,0.1288204061316398,model-ranked
8,154,18.611909650924023,0.7037436582831037,-0.018700161042609853,RANDOM control
16,308,18.611909650924023,2.2181563184044744,0.043733986278318815,model-ranked
16,307,18.611909650924023,2.5067313445612163,0.05061519496401279,RANDOM control
32,598,18.611909650924023,7.591536556697431,0.11506264541880928,model-ranked
32,598,18.611909650924023,3.538386112323927,0.07025379530293807,RANDOM control
