cell,n,win,pos,mean,median,bars,ann,timeout,yrs_ge4,n_yr,hits_A,hor,arm,tp_k,sl_k
tp 0.25s / sl 0.5s,329849,0.6403445212809498,0.6368671725547145,-0.014184132547337079,0.010990315687800442,4.668263356869355,-0.5750740515993701,0.022416317769646112,0.0,27,False,21,all bars,0.25,0.5
tp 0.25s / sl 0.5s,194777,0.6429352541624525,0.6394492162832367,-0.013814752872324126,0.01101121622051248,4.683704954897139,-0.564940368401475,0.02309307567115214,0.0,26,False,21,trend,0.25,0.5
tp 0.25s / sl 1s,329849,0.7294307395202047,0.7269447535084236,-0.014076411380127636,0.013177488303198993,7.090802154925435,-0.4514661708053097,0.10468729630831078,0.0,27,False,21,all bars,0.25,1.0
tp 0.25s / sl 1s,194777,0.7331101721455818,0.7309538600553454,-0.013190055191420887,0.013261653525442944,7.164059411532162,-0.43006129503771473,0.10810824686692988,0.0,26,False,21,trend,0.25,1.0
tp 0.25s / sl 2s,329849,0.7519410396878572,0.7496217966402808,-0.01278934848483496,0.013584583732171123,8.531418921991579,-0.3823599088044348,0.21098442014376276,0.0,27,False,21,all bars,0.25,2.0
tp 0.25s / sl 2s,194777,0.7521319252273112,0.7501296354292345,-0.011583732027736555,0.013606575806894073,8.592241383736273,-0.35313363855387114,0.21705334818792774,0.0,26,False,21,trend,0.25,2.0
tp 0.5s / sl 0.5s,329849,0.46683785610991696,0.4894421386755758,-0.013455067361413879,-0.010208294930875576,7.488311318209242,-0.42081765720523145,0.07488274937926143,0.0,27,False,21,all bars,0.5,0.5
tp 0.5s / sl 0.5s,194777,0.46843313122185887,0.4925735584796973,-0.01322759332052401,-0.007115151515151515,7.537773967152179,-0.41383542950377994,0.07731919066419546,0.0,26,False,21,trend,0.5,0.5
tp 0.5s / sl 1s,329849,0.5460953345318615,0.5831092408950762,-0.01284201306302616,0.02423199796892141,10.990804883446668,-0.3268028150075546,0.23001737158517988,0.0,27,False,21,all bars,0.5,1.0
tp 0.5s / sl 1s,194777,0.5468818186952258,0.5866452404544684,-0.01208565757618606,0.023886261003479178,11.134620617424028,-0.31137210931252535,0.23821087705427232,0.0,26,False,21,trend,0.5,1.0
tp 0.5s / sl 2s,329849,0.565210141610252,0.6062743861585149,-0.011071768784779355,0.026147679080425208,12.895437002992278,-0.2743419808441967,0.3867163459643655,0.0,27,False,21,all bars,0.5,2.0
tp 0.5s / sl 2s,194777,0.5625150813494406,0.6061649989475143,-0.009882034752252515,0.025457696707387727,13.014313805018046,-0.2507724476746137,0.3973107707788907,0.0,26,False,21,trend,0.5,2.0
tp 1s / sl 0.5s,329849,0.252545861894382,0.37140631016010356,-0.011907440635296541,-0.046111736836146895,10.866084177911711,-0.31325694829949025,0.21031744828694343,0.037037037037037035,27,False,21,all bars,1.0,0.5
tp 1s / sl 0.5s,194777,0.253099698629715,0.3761429737597355,-0.0119374746883569,-0.044796224459720854,10.931028817570864,-0.3109565119813128,0.21370079629525046,0.0,26,False,21,trend,1.0,0.5
tp 1s / sl 1s,329849,0.2940163529372531,0.4597285424542745,-0.010753248028097337,-0.011530031430611494,15.170544703788703,-0.2473669153365753,0.44446095031362837,0.037037037037037035,27,False,21,all bars,1.0,1.0
tp 1s / sl 1s,194777,0.29208274077534824,0.4653526853786638,-0.010286391402217751,-0.009416793893129771,15.34950738536891,-0.23789479086826182,0.4575232188605431,0.0,26,False,21,trend,1.0,1.0
tp 1s / sl 2s,329849,0.30377839556888153,0.481317208783413,-0.008573772967006421,-0.005599987148289957,17.370275489693768,-0.2069876644686719,0.6412813135707551,0.07407407407407407,27,False,21,all bars,1.0,2.0
tp 1s / sl 2s,194777,0.29937826334731515,0.4837429470625382,-0.007633735692430131,-0.004643996803286935,17.504895341852478,-0.18966530306986584,0.6550516744790196,0.0,26,False,21,trend,1.0,2.0
tp 2s / sl 0.5s,329849,0.07374889722266856,0.33844577367219547,-0.010182937672532108,-0.048507032256249825,12.97299976655985,-0.2632285583810311,0.3689051656970311,0.037037037037037035,27,False,21,all bars,2.0,0.5
tp 2s / sl 0.5s,194777,0.07596379449318964,0.3442141525950189,-0.009585956251835465,-0.04744523684030455,13.005134076405325,-0.25520753712627353,0.3702695903520436,0.0,26,False,21,trend,2.0,0.5
tp 2s / sl 1s,329849,0.08388383775606414,0.4252521608372316,-0.008746101339551494,-0.018472747611653607,17.587217181195033,-0.21109822799395317,0.6449951341371355,0.07407407407407407,27,False,21,all bars,2.0,1.0
tp 2s / sl 1s,194777,0.08544643361382503,0.43301827217792654,-0.007600435228092651,-0.015438165657680233,17.719966936547948,-0.1972808821644293,0.6546460824429989,0.0,26,False,21,trend,2.0,1.0
tp 2s / sl 2s,329849,0.08642742588275241,0.44619810883161687,-0.006511223853452156,-0.01199665308981613,19.8754642275708,-0.17793815879052366,0.8563281986605993,0.07407407407407407,27,False,21,all bars,2.0,2.0
tp 2s / sl 2s,194777,0.08755653901641364,0.45128531602807315,-0.00478953469912837,-0.01022962962962963,19.95106198370444,-0.15585393326584251,0.8650508016860307,0.038461538461538464,26,False,21,trend,2.0,2.0
NO tp / sl 0.5s,329849,0.0,0.33561417497097157,-0.00920715783445869,-0.048688634677964984,13.571364472834539,-0.2512064198440028,0.4406470839687251,0.037037037037037035,27,False,21,all bars,,0.5
NO tp / sl 0.5s,194777,0.0,0.3410258911473121,-0.008248991086728488,-0.04770526315789474,13.612988186490192,-0.24021722522134736,0.4438049667055145,0.0,26,False,21,trend,,0.5
NO tp / sl 1s,329849,0.0,0.4224902910119479,-0.007730120638909051,-0.018958050891372313,18.25109368226067,-0.20304913052808493,0.7277633098781564,0.07407407407407407,27,False,21,all bars,,1.0
