cell,n,win,pos,mean,median,bars,ann,timeout,yrs_ge4,n_yr,hits_A,arm,sel,n_sel
win-rate corner,157176,0.7617702448210922,0.7708301521860844,-0.006286182067192682,0.06971298762456499,94.24615081182878,-0.10257937709461873,0.22256578612510816,0.15789473684210525,19,False,real,all signals,157176
win-rate corner,81959,0.784001756976049,0.7905660147146744,-0.004371628508422969,0.06435403802204193,87.80994155614393,-0.093208859246393,0.1967203113751998,0.10526315789473684,19,False,real,model top 50%,81959
win-rate corner,34119,0.7969459831765292,0.802749201324775,-0.0040433839614562915,0.05805476866303909,83.54819895073126,-0.09051566180864157,0.1763533515050265,0.15789473684210525,19,False,real,model top 20%,34119
win-rate corner,10388,0.7961108971890644,0.8008278783211398,-0.006932250411077028,0.05287082610240723,80.74114362726223,-0.09831043950036256,0.16932999614940317,0.10526315789473684,19,False,real,model top 5%,10388
win-rate corner,157176,0.6736270168473558,0.7708301521860844,-0.006286182067192682,0.06971298762456499,94.24615081182878,-0.10257937709461873,0.22256578612510816,0.15789473684210525,19,False,NULL,all signals,157176
win-rate corner,81959,0.6709574299344795,0.7657487280225479,-0.006859660486370465,0.07177712682357107,94.95713710513793,-0.104049689851205,0.2288583316048268,0.15789473684210525,19,False,NULL,model top 50%,81959
win-rate corner,34119,0.6617720331779947,0.7691901872856766,-0.004555156885026371,0.06971290180356546,94.99000556874469,-0.09794836160606069,0.22359975380286642,0.21052631578947367,19,False,NULL,model top 20%,34119
win-rate corner,10388,0.6631690412013862,0.7713708124759338,-0.006068074386830938,0.06519035747051474,95.88457835964574,-0.11036468918887676,0.22304582210242588,0.21052631578947367,19,False,NULL,model top 5%,10388
balanced,157176,0.3580508474576271,0.5217463225937802,0.025667023559944668,0.024361396680190266,198.57904514684176,-0.05911195491824017,0.6162136712984171,0.5263157894736842,19,False,real,all signals,157176
balanced,81959,0.3950877877963372,0.5494698568796593,0.02897567265526492,0.0551755904604995,191.47490818580022,-0.04598251263117814,0.5667101843604729,0.47368421052631576,19,False,real,model top 50%,81959
balanced,34119,0.4207333157478238,0.5748703068671415,0.03322318242415658,0.08132168531293066,185.66728215950056,-0.0345950126633956,0.5285617984114424,0.47368421052631576,19,False,real,model top 20%,34119
balanced,10388,0.4470542934154794,0.5872160184828649,0.02499707514642467,0.09741307768048604,179.6238929534078,-0.04729096836436486,0.4842125529457066,0.47368421052631576,19,False,real,model top 5%,10388
balanced,157176,0.3176948134575253,0.5217463225937802,0.025667023559944668,0.024361396680190266,198.57904514684176,-0.05911195491824017,0.6162136712984171,0.5263157894736842,19,False,NULL,all signals,157176
balanced,81958,0.3221528099758413,0.5094560628614656,0.019889226267811224,0.0114114472128767,199.88269601503208,-0.05929651475632147,0.6234900802850241,0.5789473684210527,19,False,NULL,model top 50%,81958
balanced,34119,0.320466602186465,0.5178639467745244,0.02423105142638732,0.02340831342945442,199.28189571792842,-0.054128148572335166,0.6137342829508485,0.5263157894736842,19,False,NULL,model top 20%,34119
balanced,10387,0.32454029074805046,0.5313372484836816,0.03253162527819404,0.04846519888660139,195.250216616925,-0.05677060426215341,0.5817849234620198,0.5789473684210527,19,False,NULL,model top 5%,10387
mean corner,157176,0.0,0.4676795439507304,0.04826561602294371,-0.02703918883801361,248.94835089326614,-0.053673702900701725,0.970478953529801,0.5789473684210527,19,False,real,all signals,157176
mean corner,157176,0.0,0.4676795439507304,0.04826561602294371,-0.02703918883801361,248.94835089326614,-0.053673702900701725,0.970478953529801,0.5789473684210527,19,False,real,model top 50%,157176
mean corner,157176,0.0,0.4676795439507304,0.04826561602294371,-0.02703918883801361,248.94835089326614,-0.053673702900701725,0.970478953529801,0.5789473684210527,19,False,NULL,all signals,157176
mean corner,157176,0.0,0.4676795439507304,0.04826561602294371,-0.02703918883801361,248.94835089326614,-0.053673702900701725,0.970478953529801,0.5789473684210527,19,False,NULL,model top 50%,157176
