rule,trades,win,give_back,gb_mean,bars,mean,in_mkt,cagr,hold,names,reentry
RANDOM ~ close < EMA20,16538,0.4018623775547225,0.019078674081390065,0.04212270579384505,11.586165195307776,0.007194720371528698,0.2857291975777169,-0.0036893438019327666,0.1306493529329248,231,live
RANDOM ~ drop -4%,10389,0.42005967850611226,0.027586148417527222,0.05996962394693155,23.523630763307345,0.02491240506148806,0.3644265568358219,0.018851136921404582,0.1306493529329248,231,live
RANDOM ~ hull55 +1bar,9758,0.4624923139987702,0.04081629959964697,0.06821575681449245,22.472330395572865,0.02287904092194974,0.3269947972508489,0.015079809836434203,0.1306493529329248,231,live
close < EMA20,11533,0.24252146015780804,0.04724397837508977,0.05963641666853755,11.492239660105783,0.020544221725484268,0.19764183791699164,0.047102775555751465,0.1306493529329248,231,live
RANDOM ~ 3day -8%,5811,0.4637755980037859,0.04776117500432253,0.09422002463279903,51.80382034073309,0.07043727078594642,0.4488948072417974,0.03720676163984143,0.1306493529329248,231,live
RANDOM ~ drop -6%,5164,0.46146398140975986,0.05076116683645067,0.10318813250640947,61.589465530596435,0.08082757871488225,0.4742688340563102,0.026051061408639293,0.1306493529329248,231,live
RANDOM ~ trail 15%,4875,0.49353846153846154,0.06632323451867102,0.11057316036075712,62.4531282051282,0.08118752313288241,0.4540051028396662,0.04478136225767171,0.1306493529329248,231,live
hull55 +1bar,6734,0.36174636174636177,0.06878306997955219,0.08468169334662674,22.57989307989308,0.04271650494830015,0.2267393570302726,0.050090166115503716,0.1306493529329248,231,live
drop -4%,9064,0.3819505736981465,0.07317062316223796,0.08589924283279024,24.162400706090025,0.02996258988778632,0.3265817386338049,0.06439062372385478,0.1306493529329248,231,live
RANDOM ~ drop -8%,3136,0.484375,0.08772716493340803,0.14740709880995578,117.52232142857143,0.1528237778930614,0.5495767267565057,0.04181126650571912,0.1306493529329248,231,live
RANDOM ~ 3day -12%,3123,0.505603586295229,0.0933852140077821,0.15124122499083,115.37656099903938,0.14102269265316497,0.5373057543389795,0.043143658323735096,0.1306493529329248,231,live
RANDOM ~ vol climax,3013,0.5024892134085629,0.10714281432943008,0.15863529980997731,117.9983405243943,0.1651059371024081,0.5301599893827532,0.05613898581293256,0.1306493529329248,231,live
RANDOM ~ trail 25%,2867,0.5127310777816533,0.11401872311003464,0.16559974335831584,124.44576212068364,0.1906259761318671,0.5320344106160538,0.045995810482846546,0.1306493529329248,231,live
