bucket,feat,n_dates,gross_20d,t,cost,net_20d,gross_yr,net_yr,disp
0,hi52,6167,-0.002793078788649287,-1.0589591168562298,0.019501657728176445,-0.02229473651682573,-0.03519279273698102,-0.2809136801120042,0.21205882616220864
1,hi52,6178,0.0053622292670089736,2.080806177316055,0.01718662833278302,-0.011824399065774045,0.06756408876431307,-0.14898742822875297,0.18370790715581126
2,hi52,6178,0.009037809023783686,4.0571672665217235,0.015830389509306337,-0.006792580485522651,0.11387639369967444,-0.0855865141175854,0.1614156422612298
3,hi52,6179,0.012620991755341152,6.353378501488764,0.014034285373692224,-0.0014132936183510712,0.15902449611729852,-0.017807499591223498,0.15091207814078275
4,hi52,6155,0.004956909101972472,2.3733248884438427,0.01095524067680208,-0.0059983315748296075,0.062457054684853144,-0.07557897784285306,0.1254042475992065
0,lowvol,6178,-0.013492914783702188,-4.994249281697023,0.01938155786551837,-0.032874472649220554,-0.17001072627464756,-0.414218355380179,0.212616123759888
1,lowvol,6178,-0.0066823675681002516,-2.6153789866175803,0.017281460421109857,-0.02396382798921011,-0.08419783135806316,-0.30194423266404735,0.18537274485251817
2,lowvol,6178,-0.003872467725746732,-1.7373820900186265,0.015865961480586513,-0.019738429206333244,-0.048793093344408824,-0.24870420799979887,0.16254144262915138
3,lowvol,6179,-0.003893418501844063,-1.934879287504319,0.014126503478556651,-0.018019921980400713,-0.04905707312323519,-0.22705101695304897,0.15323754520792657
4,lowvol,6179,-0.0005661970179651963,-0.32966705434902144,0.011018301481208564,-0.01158449849917376,-0.007134082426361474,-0.14596468108958938,0.1285722633296519
0,mom12_1,6096,0.0033964820674733027,1.2086296118136717,0.019437553556716194,-0.01604107148924289,0.042795674050163615,-0.20211750076446042,0.2111531327272637
1,mom12_1,6120,0.0041779187044007115,1.6791530867912963,0.017054467010469778,-0.012876548306069067,0.05264177567544896,-0.16224450865647025,0.18254416028340203
2,mom12_1,6104,0.007947895044959742,3.479891362201231,0.015631165829366377,-0.007683270784406634,0.10014347756649275,-0.0968092118835236,0.16112726439808758
3,mom12_1,6105,0.0038085077943694847,1.7272355427691204,0.013912192039088073,-0.010103684244718589,0.047987198209055504,-0.12730642148345422,0.14978107840261223
4,mom12_1,6107,0.005508335950660985,2.1050730016908097,0.010888115386535793,-0.005379779435874808,0.06940503297832841,-0.06778522089202257,0.12404097862214726
0,pastret5,6178,0.001226389428809554,0.5405204315708234,0.01938155786551837,-0.018155168436708814,0.015452506803000381,-0.22875512230253106,0.212616123759888
1,pastret5,6177,0.006105473020016914,2.878057642164565,0.017281460421109857,-0.011175987401092944,0.07692896005221311,-0.14081744125377108,0.18537274485251817
2,pastret5,6174,0.004333404028153569,3.0011003802553007,0.015865961480586513,-0.011532557452432944,0.05460089075473497,-0.1453102239006551,0.16254144262915138
3,pastret5,6177,0.008185310632363637,5.320348397311932,0.014126503478556651,-0.005941192846193015,0.10313491396778182,-0.07485902986203198,0.15323754520792657
4,pastret5,6178,0.004562401520305953,3.5821247120424116,0.011018301481208564,-0.006455899960902611,0.057486259155855,-0.0813443395073729,0.1285722633296519
0,squeeze,6170,0.003700262723861036,1.2131740929674508,0.019415883946021395,-0.01571562122216036,0.04662331032064905,-0.19801682739922052,0.21174564488808723
1,squeeze,6178,0.0020872645424123027,0.994759094960215,0.01701605558212225,-0.014928791039709946,0.026299533234395014,-0.18810276710034532,0.18123737035406212
2,squeeze,6178,0.004619697533688112,2.166999862758504,0.015710636707397873,-0.011090939173709761,0.05820818892447021,-0.13974583358874298,0.15931066048902026
3,squeeze,6179,0.006795608667534702,3.0915624990443487,0.014026269842274168,-0.007230661174739466,0.08562466921093724,-0.09110633080171728,0.150981533499814
4,squeeze,6162,0.006240561406917598,2.9869832691754485,0.010925569249006442,-0.004685007842088844,0.07863107372716173,-0.05903109881031943,0.1254374016253691
