LONG-ONLY TOP-QUINTILE TILT inside each size bucket, 20-session hold,
against that bucket's own mean, net of that bucket's own round trip.

feature   bucket     dispersion  GROSS/20d      t   cost  NET/20d   net/yr
hi52      thinnest        21.2%     -0.28%   -1.1  1.95%   -2.23%   -28.1%
hi52      thin            18.4%     +0.54%    2.1  1.72%   -1.18%   -14.9%
hi52      mid             16.1%     +0.90%    4.1  1.58%   -0.68%    -8.6%
hi52      thick           15.1%     +1.26%    6.4  1.40%   -0.14%    -1.8%
hi52      thickest        12.5%     +0.50%    2.4  1.10%   -0.60%    -7.6%

lowvol    thinnest        21.3%     -1.35%   -5.0  1.94%   -3.29%   -41.4%
lowvol    thin            18.5%     -0.67%   -2.6  1.73%   -2.40%   -30.2%
lowvol    mid             16.3%     -0.39%   -1.7  1.59%   -1.97%   -24.9%
lowvol    thick           15.3%     -0.39%   -1.9  1.41%   -1.80%   -22.7%
lowvol    thickest        12.9%     -0.06%   -0.3  1.10%   -1.16%   -14.6%

mom12_1   thinnest        21.1%     +0.34%    1.2  1.94%   -1.60%   -20.2%
mom12_1   thin            18.3%     +0.42%    1.7  1.71%   -1.29%   -16.2%
mom12_1   mid             16.1%     +0.79%    3.5  1.56%   -0.77%    -9.7%
mom12_1   thick           15.0%     +0.38%    1.7  1.39%   -1.01%   -12.7%
mom12_1   thickest        12.4%     +0.55%    2.1  1.09%   -0.54%    -6.8%

pastret5  thinnest        21.3%     +0.12%    0.5  1.94%   -1.82%   -22.9%
pastret5  thin            18.5%     +0.61%    2.9  1.73%   -1.12%   -14.1%
pastret5  mid             16.3%     +0.43%    3.0  1.59%   -1.15%   -14.5%
pastret5  thick           15.3%     +0.82%    5.3  1.41%   -0.59%    -7.5%
pastret5  thickest        12.9%     +0.46%    3.6  1.10%   -0.65%    -8.1%

squeeze   thinnest        21.2%     +0.37%    1.2  1.94%   -1.57%   -19.8%
squeeze   thin            18.1%     +0.21%    1.0  1.70%   -1.49%   -18.8%
squeeze   mid             15.9%     +0.46%    2.2  1.57%   -1.11%   -14.0%
squeeze   thick           15.1%     +0.68%    3.1  1.40%   -0.72%    -9.1%
squeeze   thickest        12.5%     +0.62%    3.0  1.09%   -0.47%    -5.9%

